tag,patterns,percentage,responses
sertifikasi_mikro,64,8.333333333333332,2
fasilitas_digital,62,8.072916666666668,2
prestasi_non_akademik,62,8.072916666666668,2
inkubasi_startup,60,7.8125,2
layanan_alumni,60,7.8125,2
keberlanjutan,60,7.8125,2
kesehatan_mental,60,7.8125,2
riset_terapan,58,7.552083333333333,2
pengabdian_masyarakat,58,7.552083333333333,2
bencana_alam,58,7.552083333333333,2
kelas_internasional,56,7.291666666666667,2
kesetaraan_gender,56,7.291666666666667,2
pandemi_covid19,54,7.03125,2
